7/21/2015 10:23:57 AM: mozilla/5.0 (macintosh; intel mac os x 10_10_4) applewebkit/537.36 (khtml, like gecko) chrome/43.0.2357.134 safari/537.36

7/21/2015 10:24:15 AM: mozilla/5.0 (macintosh; intel mac os x 10_10_4) applewebkit/537.36 (khtml, like gecko) chrome/43.0.2357.134 safari/537.36

7/21/2015 10:24:21 AM: mozilla/5.0 (macintosh; intel mac os x 10_10_4) applewebkit/537.36 (khtml, like gecko) chrome/43.0.2357.134 safari/537.36

9/28/2015 7:14:40 PM: mozilla/5.0 (macintosh; intel mac os x 10_10_5) applewebkit/537.36 (khtml, like gecko) chrome/45.0.2454.99 safari/537.36

9/28/2015 7:14:43 PM: mozilla/5.0 (macintosh; intel mac os x 10_10_5) applewebkit/537.36 (khtml, like gecko) chrome/45.0.2454.99 safari/537.36

9/28/2015 7:14:47 PM: mozilla/5.0 (macintosh; intel mac os x 10_10_5) applewebkit/537.36 (khtml, like gecko) chrome/45.0.2454.99 safari/537.36

10/3/2015 4:04:51 PM: mozilla/5.0 (iphone; cpu iphone os 8_0_2 like mac os x) applewebkit/600.1.4 (khtml, like gecko) version/8.0 mobile/12a405 safari/600.1.4

11/4/2015 11:58:37 PM: mozilla/5.0 (macintosh; intel mac os x 10_8_5) applewebkit/537.36 (khtml, like gecko) chrome/46.0.2490.80 safari/537.36

11/16/2015 11:20:44 AM: mozilla/5.0 [en] (x11, u; openvas 7.0.10)

11/16/2015 11:20:51 AM: mozilla/5.0 [en] (x11, u; openvas 7.0.10)

11/16/2015 11:20:54 AM: mozilla/5.0 [en] (x11, u; openvas 7.0.10)

11/16/2015 11:21:16 AM: mozilla/5.0 [en] (x11, u; openvas 7.0.10)

11/16/2015 11:21:17 AM: mozilla/5.0 [en] (x11, u; openvas 7.0.10)

11/16/2015 11:21:18 AM: mozilla/5.0 [en] (x11, u; openvas 7.0.10)

11/16/2015 11:21:20 AM: mozilla/5.0 [en] (x11, u; openvas 7.0.10)

11/16/2015 11:21:21 AM: mozilla/5.0 [en] (x11, u; openvas 7.0.10)

11/16/2015 11:21:30 AM: mozilla/5.0 [en] (x11, u; openvas 7.0.10)

11/16/2015 11:21:33 AM: mozilla/5.0 [en] (x11, u; openvas 7.0.10)

